X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.3514,0.7227,1.2877,1.55,0.6703,2.8403,2,0.1317,16,0.1175,0.2822,0.3465,0
0.4685,0.6541,1.4825,1.64,0.7787,3.3873,4.5677,0.1073,27,0.2725,0.2969,0.3465,1
0.3059,0.5439,1.9104,2.21,0.4512,3.5335,2.6317,0.1268,10,0.1628,0.2923,0.3596,1
0.269,0.4968,2.1001,2.49,0.4252,3.8547,2.6203,0.161,29,0.3671,0.2918,0.3177,1
0.0694,0.2865,3.4598,3.75,0.2299,4.3472,3.9701,0.078,0,0.2392,0.294,0.312,1
0.2039,0.3508,2.8568,2.69,0.3883,4.2637,3.504,0.0732,0,0.287,0.2017,0.3065,1
0.1779,0.3629,2.702,2.8,0.1996,3.8768,3.3012,0.0537,6,0.371,0.2526,0.3883,1
0.2364,0.3656,2.7593,2.79,0.3557,4.5224,3.5139,0.1024,17,0.2048,0.2744,0.3543,1
0.2571,0.4498,2.1743,2.16,0.5275,3.4599,2.7592,0.1921,16,0.17,0.2428,0.3658,1
0.422,0.7299,1.4543,1.53,0.5516,3.0387,2.2792,0.1527,30,0.3738,0.228,0.3127,0
0.2681,0.405,2.6701,2.32,0.6615,4.0671,3.1679,0.1626,22,0.2263,0.2784,0.3068,1
1.1034,1.5585,0.7301,0.75,2.1897,3.4274,2.8278,0.4615,5,0.292,1.1102,0.3298,0
0.6659,1.1177,0.9124,1.17,0.4769,3.2767,1.6241,0.2315,8,0.305,1.0027,0.7978,0
0.5055,0.7001,1.3248,1.45,0.8154,3.7527,2.3045,0.1773,21,0.266,0.8238,0.5676,0
0.3538,0.6845,1.5797,1.54,0.6374,4.4214,3.3856,0.1675,24,0.226,1.2547,0.7286,1
0.4374,0.5924,1.7697,1.78,0.5692,3.4009,2.5103,0.197,8,0.294,0.6307,0.8897,1
0.5758,0.9788,1.1474,1.18,0.6462,2.7386,1.8844,0.197,12,0.365,0.955,0.9781,0
0.1541,0.2909,3.4923,3.03,0.2802,4.8904,4.2821,0.0391,0,0.204,0.7105,1.3301,1
0.1355,0.2525,3.9443,3.52,0.2058,4.85,4.6125,0.0279,0,0.206,0.4998,1.6553,1
0.1873,0.3187,3.1293,2.77,0.1833,4.6786,4.3303,0.0279,4,0.214,0.6757,1.0852,1
0.1501,0.2775,3.6952,3.18,0.1952,5.0557,4.5764,0.0419,9,0.198,0.6753,1.7747,1
